Experiment,Clustering,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
Baseline_Direct,kmeans,0.09112287453098762,240.1562668389862,2.362826706880657,0.1644604688588545,0.2921155611892185,0.365
Baseline_PCA,kmeans,0.13230762037954996,323.9761149771075,2.0777219486784615,0.15679844487338668,0.28152413446766594,0.37533333333333335
Autoencoder,kmeans,0.1137094721198082,282.7361396989067,2.0728473564695813,0.1554509109100513,0.27786027080492276,0.3596666666666667
VAE_Basic,kmeans,0.1359318196773529,243.36758307708666,1.8742413957544013,0.15775990754111893,0.2732247365689392,0.37433333333333335
BetaVAE_Disentangled,kmeans,0.23069992661476135,738.4228037147093,1.357765615361612,0.16364277127475285,0.2734509834194352,0.37033333333333335
ConvVAE_Audio,kmeans,0.08889111131429672,188.6581967363264,2.2853703963480863,0.17638623262287995,0.29407114473063173,0.388
CVAE_Multimodal,kmeans,0.10045217722654343,214.3698443215743,2.094749416631047,0.05722173646172418,0.12783502191647936,0.24966666666666668
CVAE_Agglomerative,agglomerative,0.09920544177293777,181.19003913999816,2.254665582650463,0.06088288672406171,0.12700464208030224,0.25666666666666665
CVAE_DBSCAN,dbscan,0.0,0.0,0.0,0.0,0.0,0.113
